Variable,Total,,Variable,Death Total,,Variable,Rehosp Total,,Variable,Readmis Total
 TotalHospDays,6,, InitialHospDays,2,, Race,2,, BMI_B,2
 CRT_B,6,, TotalHospDays,2,, InitialHospDays,2,, TotalHospDays,2
 PP_D,6,, AF,2,, TotalHospDays,2,, PERIPAE,2
 PPRatio_D,6,, AOREG,2,, AF,2,, BUN_D,2
 InitialHospDays,5,, ARRH,2,, ARRH,2,, CINF_D,2
 SixFtWlk_M6,5,, HTN,2,, IDIOPE,2,, DIN_B,2
 BUN_B,5,, HYPERE,2,, MI,2,, MIL_D,2
 BUN_D,5,, MI,2,, PTCI,2,, NAT_B,2
 ACE_D,5,, VAHD,2,, SixFtWlk_B,2,, TOR_D,2
 BEN_D,5,, SixFtWlk_M6,2,, BUN_B,2,, PP_B,2
 PPP_D,5,, BUN_B,2,, BUN_D,2,, PP_D,2
Age,4,, CRT_B,2,, CRT_B,2,, PPP_D,2
 AF,4,, ACE_D,2,, ACE_D,2,, PPRatio_D,2
 ARRH,4,, BET_D,2,, BEN_D,2,,Age,1
 MI,4,, BEN_D,2,, FUR_B,2,, IDIOPE,1
 SixFtWlk_B,4,, FUR_B,2,, MON_B,2,, MALIG,1
 SixFtWlk_D,4,, LIS_D,2,, MON_D,2,, OTHUNE,1
 SixFtWlk_M3,4,, BPDIAS_D,2,, BPSYS_D,2,, STERD,1
 BET_D,4,, MAP_D,2,, PP_D,2,, SixFtWlk_D,1
 FUR_B,4,, PP_D,2,, PPP_D,2,, SixFtWlk_M3,1
 BPDIAS_D,4,, PPRatio_D,2,, PPRatio_D,2,, SixFtWlk_M6,1
 BPSYS_D,4,,Age,1,,Age,1,, ALB_B,1
 MAP_D,4,, Race,1,, ANGP,1,, ALT_D,1
 Race,3,, Wt_D,1,, AOST,1,, AST_D,1
 HYPERE,3,, BMI_D,1,, CARREST,1,, CRT_B,1
 IDIOPE,3,, ANGP,1,, CYTOE,1,, CRT_D,1
 VO2_B,3,, AOST,1,, DEPR,1,, DIAL_D,1
 VO2_M3,3,, DIAB,1,, FAMILE,1,, POT_D,1
 HEM_D,3,, FAMILE,1,, GOUT,1,, SOD_D,1
 CINF_D,3,, ISCHEME,1,, HEPT,1,, TALB_D,1
 DIN_B,3,, PTREG,1,, HYPERE,1,, TOTP_B,1
 LIS_D,3,, PVD,1,, ISCHD,1,, DIUR_D,1
 MON_B,3,, SVT,1,, ISCHEME,1,, BUM_D,1
 MON_D,3,, SixFtWlk_B,1,, SMOKING,1,, DOP_D,1
 TOR_D,3,, SixFtWlk_D,1,, TIA,1,, ENA_B,1
 VALSA_D,3,, SixFtWlk_M3,1,, SixFtWlk_D,1,, FUR_D,1
 PP_B,3,, VO2_B,1,, SixFtWlk_M3,1,, MON_D,1
 Wt_D,2,, VO2_M3,1,, SixFtWlk_M6,1,, OTHA_B,1
 BMI_B,2,, BUN_D,1,, VO2_B,1,, OTHB_B,1
 BMI_D,2,, HEM_D,1,, VO2_M3,1,, QUI_B,1
 ANGP,2,, SOD_B,1,, ALB_B,1,, VALSA_B,1
 AOREG,2,, TALB_B,1,, CRT_D,1,, VALSA_D,1
 AOST,2,, ACE_B,1,, HEM_D,1,, EjF_B,1
 CARREST,2,, DIUR_B,1,, POT_B,1,, BPDIAS_B,1
 FAMILE,2,, DIUR_D,1,, TALB_B,1,, BPDIAS_D,1
 HTN,2,, CAP_B,1,, TOTP_B,1,, PPP_B,1
 ISCHEME,2,, CAP_D,1,, BET_D,1,, PPRatio_B,1
 PERIPAE,2,, CAR_B,1,, CINF_D,1,, Gender,0
 PTCI,2,, DIN_D,1,, BEN_B,1,, Race,0
 TIA,2,, FUR_D,1,, DIGX_D,1,, Wt_B,0
 VAHD,2,, MET_D,1,, DIN_B,1,, Wt_D,0
 ALB_B,2,, MON_B,1,, LIS_D,1,, BMI_D,0
 CRT_D,2,, OTHB_B,1,, LOSA_B,1,, InitialHospDays,0
 TALB_B,2,, TOP_B,1,, QUI_D,1,, AF,0
 TALB_D,2,, TOR_D,1,, TOP_B,1,, AlchE,0
 TOTP_B,2,, VALSA_B,1,, TOP_D,1,, ANGP,0
 DIUR_D,2,, VALSA_D,1,, VALSA_D,1,, AOREG,0
